SESSION,YEARS,NAME,GENDER,COUNTRY
First,1946,Mr. Paul-Henri Spaak,M,Belgium
"First
special, Second",1947,Mr. Oswaldo Aranha,M,Brazil
Third,1948,Mr. H. V. Evatt,M,Australia
"Second
special",1948,Mr. José Arce,M,Argentina
Fourth,1949,Mr. Carlos P. Rómulo,M,Philippines
Fifth,1950,Mr. Nasrollah Entezam,M,Iran
Sixth,1951,Mr. Luis Padilla Nervo,M,Mexico
Seventh,1952,Mr. Lester B. Pearson,M,Canada
Eighth,1953,Mrs. Vijaya Lakshmi Pandit,F,India
Ninth,1954,Mr. Eelco N. van Kleffens,M,Netherlands
10th,1955,Mr. José Maza,M,Chile
"Second emergency special, First
emergency special",1956,Mr. Rudecindo Ortega,M,Chile
11th,1956,Prince Wan Waithayakon,M,Thailand
"12th, Third emergency special","1957 , 1958",Sir Leslie Munro,M,"New
Zealand"
13th,1958,Mr. Charles Malik,M,Lebanon
"14th, Fourth
emergency special, 23rd
special","1959, 1960",Mr. Víctor Andrés Belaúnde,M,Peru
"Third
special, 15th","1960, 1961",Mr. Frederick Henry Boland,M,Ireland
16th,1961,Mr. Mongi Slim,M,Tunisia
"17th, Fourth
special","1962 , 1963",Sir Muhammad Zafrulla Khan,M,Pakistan
18th,1963,Mr. Carlos Sosa Rodríguez,M,Venezuela
19th,1964,Mr. Alex Quaison-Sackey,M,Ghana
20th,1965,Mr. Amintore Fanfani,M,Italy
"Fifth
special, 21st","1966, 1967",Mr. Abdul Rahman Pazhwak,M,Afghanistan
22nd,1967,Mr. Corneliu Manescu,M,Romania
23rd,1968,Mr. Emilio Arenales Catalán,M,Guatemala
24th,1969,Miss Angie E. Brooks,F,Liberia
25th,1970,Mr. Edvard Hambro,M,Norway
26th,1971,Mr. Adam Malik,M,Indonesia
27th,1972,Mr. Stanislaw Trepczynski,M,Poland
"Sixth
special, 28th","1973, 1974",Mr. Leopoldo Benítes,M,Ecuador
"Seventh
special, 29th","1974, 1975",Mr. Abdelaziz Bouteflika,M,Algeria
30th,1975,Mr. Gaston Thorn,M,Luxembourg
31st,1976,Mr. H. S. Amerasinghe,M,"Sri
Lanka"
"10th
special, Ninth
special, Eighth
special, 32nd","1977, 1978",Mr. Lazar Mojsov,M,Yugoslavia
33rd,1978,Mr. Indalecio Liévano,M,Colombia
"11th
special, Seventh emergency special, Sixth
emergency special, 34th","1979, 1980",Mr. Salim A. Salim,M,"United
Republic of Tanzania"
"Eighth
emergency special, 35th",1981,Mr. Rüdiger von Wechmar,M,"Federal
Republic of Germany"
37th,1982,Mr. Imre Hollai,M,Hungary
"Seventh emergency special (resumed), Ninth
emergency special, 12th
special, 36th",1982,Mr. Ismat T. Kittani,M,Iraq
38th,1983,Mr. Jorge E. Illueca,M,Panama
39th,1984,Mr. Paul J. F. Lusaka,M,Zambia
"13th
special, 40th","1985, 1986","Mr. Jaime de Piniés, Mr. Jaime de Piniés",M,Spain
"14th
special, 41st",1986,Mr. Humayun Rasheed Choudhury,M,Bangladesh
42nd,1987,Mr. Peter Florin,M,"German
Democratic
Republic"
43rd,1988,Mr. Dante M. Caputo,M,Argentina
"15th
special",1988,Mr. Peter Florin,M,"German
Democratic
Republic"
"18th
special, 17th
special,
16th
special,
44th","1989, 1990",Mr. Joseph Nanven Garba,M,Nigeria
45th,1990,Mr. Guido de Marco,M,Malta
46th,1991,Mr. Samir S. Shihabi,M,"Saudi
Arabia"
47th,1992,Mr. Stoyan Ganev,M,Bulgaria
48th,1993,Mr. Samuel R. Insanally,M,Guyana
49th,1994,Mr. Amara Essy,M,"Côte
d’Ivoire"
50th,1995,Prof. Diogo Freitas do Amaral,,Portugal
"10th
emergency
special (resumed), 19th
special, 51st","1996, 1997",Mr. Razali Ismail,M,Malaysia
"20th
special, 10th
emergency
special (resumed), 52nd","1997, 1998",Mr. Hennadiy Udovenko,M,Ukraine
"21st
special, 53rd, 10th emergency
special (resumed)","1998, 1999",Mr. Didier Opertti,M,Uruguay
"54th, 22nd special, 24th
special","1999, 2000",Mr. Theo-Ben Gurirab,M,Namibia
"26th
special, 25th
special, 10th
emergency
special (resumed), 55th","2000, 2001",Mr. Harri Holkeri,M,Finland
"10th
emergency
special (resumed twice), 56th","2001, 2002",Mr. Han Seung-soo,M,"Republic
of Korea"
57th,2002,Mr. Jan Kavan,M,"Czech
Republic"
"10th
emergency
special (resumed), 58th","2003, 2004",Mr. Julian Robert Hunte,M,"Saint
Lucia"
59th,2004,Mr. Jean Ping,M,"Gabonese
Republic"
60th,2005,Mr.Jan Eliasson,M,Sweden
"61st, 10th emergency special (resumed twice)",2006,Ms. Sheikha Haya Rashed Al Khalifa,F,Bahrain
62nd,2007,Mr. Srgjan Kerim,M,Former Yugoslav Republic of Macedonia
63rd,2008,Mr. Miguel d’Escoto Brockmann,M,Nicaragua
64th,2009,Dr. Ali Abdussalam Treki,M,Libya (formerly Libyan Arab Jamahiriya)
65th,2010,Mr. Joseph Deiss,M,Switzerland
66th,2011,Mr. Nassir Abdulaziz Al-Nasser,M,Qatar
67th,2012,Mr. Vuk Jeremić,M,Serbia
68th,2013,Mr. John W. Ashe,M,Antigua and Barbuda
69th,2014,Mr. Sam Kutesa,M,Uganda
70th,2015,Mr. Mogens Lykketoft,M,Denmark
,,,,
http://www.un.org/pga/70/president/presidents-of-the-general-assembly/,,,,